,n_id,x,y,geometry,elevation,n_demand,dw_demand,lat,lon,cluster
127,R161,1174233.8091625995,-1307012.1849523378,POINT (1174233.8091625995 -1307012.1849523378),85.7713394165039,2,45.20733652390744,32.449537,-87.506827,0
128,R35,1174469.9171384247,-1306841.685527137,POINT (1174469.9171384247 -1306841.685527137),84.55490112304688,3,52.61306989386603,32.45051,-87.504219,0
129,R68,1174225.3106806923,-1306881.7970975463,POINT (1174225.3106806923 -1306881.7970975463),86.1122055053711,0,0.0,32.4495494,-87.505424,-1
130,R353,1174299.9910348202,-1306571.880192489,POINT (1174299.9910348202 -1306571.880192489),87.17825317382812,2,805.8136326972192,-87.50561823809845,32.45220605704683,0
131,R354,1174397.9520029023,-1306552.035103669,POINT (1174397.9520029023 -1306552.035103669),82.88690185546875,1,8.012600106468025,-87.50455941867612,32.452254231189215,0
132,R355,1174442.0295337515,-1306628.4669940302,POINT (1174442.0295337515 -1306628.4669940302),81.72538757324219,1,104.830983522525,-87.50419931188604,32.45151367150887,0
133,R71,1175430.5104704057,-1306675.1147156907,POINT (1175430.5104704057 -1306675.1147156907),70.47473907470703,2,91.14362880934671,32.449573,-87.5041961,0
134,R36,1173074.875986277,-1307510.9681264558,POINT (1173074.875986277 -1307510.9681264558),75.8372802734375,4,50.65719262792097,32.445431,-87.520193,0
135,R144,1173193.773668748,-1307492.5321487836,POINT (1173193.773668748 -1307492.5321487836),77.69786071777344,7,300.94071464865306,32.445433,-87.5198,0
136,R37,1172643.9918895788,-1306586.1817571952,POINT (1172643.9918895788 -1306586.1817571952),78.42313385009766,3,31.705554345578424,32.454258,-87.52308,0
137,R38,1172769.6709844915,-1306804.2921585622,POINT (1172769.6709844915 -1306804.2921585622),76.72566223144531,0,0.0,32.4538776,-87.5230598,0
138,R39,1172651.9354369217,-1306675.6069644133,POINT (1172651.9354369217 -1306675.6069644133),75.5792236328125,0,0.0,32.453449,-87.523118,-1
139,R356,1172790.1625340579,-1306706.4348658053,POINT (1172790.1625340579 -1306706.4348658053),78.03949737548828,5,67.1588312312799,-87.52170401735196,32.45299189295082,0
140,R357,1172787.9152145495,-1306607.2944266577,POINT (1172787.9152145495 -1306607.2944266577),78.6761245727539,7,120.79314922842188,-87.52159278678849,32.453880154113335,0
141,R40,1175420.832644107,-1307369.818485459,POINT (1175420.832644107 -1307369.818485459),81.58830261230469,6,117.94677946898962,32.4433724,-87.4959392,4
142,R358,1175376.106700668,-1307855.239322645,POINT (1175376.106700668 -1307855.239322645),83.18573760986328,6,81.44224184687909,-87.49603369463185,32.439328424212235,0
143,R359,1175363.1719697188,-1307756.0793875135,POINT (1175363.1719697188 -1307756.0793875135),79.21772766113281,1,12.155294803108779,-87.4960347566003,32.44023091753802,0
144,R360,1175350.2287421164,-1307656.9205611923,POINT (1175350.2287421164 -1307656.9205611923),80.64653778076172,3,32.03255684887946,-87.49603590760681,32.44113341133771,0
145,R361,1175337.2829843417,-1307557.7620650579,POINT (1175337.2829843417 -1307557.7620650579),82.47179412841797,14,195.45381189237628,-87.49603708375872,32.44203590469985,0
